author_name,university_name,homepage,source_file
Aaron M. Dollar,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,csrankings-a.csv
Aaron McFadyen,Queensland University of Technology,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,csrankings-a.csv
Aaron Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,csrankings-a.csv
Aaron Roth 0001,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,csrankings-a.csv
Aaron Schulman,Univ. of California - San Diego,http://cseweb.ucsd.edu/~schulman,csrankings-a.csv
Aaron Sidford,Stanford University,http://www.aaronsidford.com,csrankings-a.csv
Aaron Steven White,University of Rochester,http://aaronstevenwhite.io,csrankings-a.csv
Aaron Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,csrankings-a.csv
Aaron Stump,University of Iowa,https://www.cs.uiowa.edu/~astump,csrankings-a.csv
Aaron Visaggio,University of Sannio,https://www.unisannio.it/it/users/corrado-aaron-visaggio,csrankings-a.csv
Aart Middeldorp,University of Innsbruck,http://cl-informatik.uibk.ac.at/users/ami,csrankings-a.csv
Aarti Gupta,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,csrankings-a.csv
Aarti Sathyanarayana,Northeastern University,https://www.aartisathyanarayana.org,csrankings-a.csv
Aarti Singh,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,csrankings-a.csv
Aarushi Goel,Purdue University,https://aarushigoel.github.io,csrankings-a.csv
Aasa Feragen,DTU,http://www2.compute.dtu.dk/~afhar,csrankings-a.csv
Aashish Yadavally,University of Central Florida,https://aashishyadavally.github.io,csrankings-a.csv
Aastha Mehta,University of British Columbia,https://aasthakm.github.io,csrankings-a.csv
Aayush Jain,Carnegie Mellon University,https://sites.google.com/view/aayushjain,csrankings-a.csv
Abani K. Patra,Tufts University,https://engineering.tufts.edu/cs/people/faculty/abani-patra,csrankings-a.csv
Abbas Edalat,Imperial College London,https://www.doc.ic.ac.uk/~ae,csrankings-a.csv
Abbas Heydarnoori,Sharif University of Technology,http://sharif.edu/~heydarnoori,csrankings-a.csv
Abbe Mowshowitz,CUNY,https://www.ccny.cuny.edu/profiles/abbe-mowshowitz,csrankings-a.csv
Abbes Amira,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abbes.php,csrankings-a.csv
Abby Stylianou,Saint Louis University,https://cs.slu.edu/people/stylianou,csrankings-a.csv
Abdalla Swikir,MBZUAI,https://mbzuai.ac.ae/study/faculty/abdalla-swikir,csrankings-a.csv
Abdallah Saffidine,UNSW,http://www.cse.unsw.edu.au/~abdallahs,csrankings-a.csv
Abdel Latif Abu Dalhoum,University of Jordan,http://eacademic.ju.edu.jo/a.latif,csrankings-a.csv
AbdelRahman Abdou,Carleton University,http://people.scs.carleton.ca/~abdou,csrankings-a.csv
Abdelaziz Bouras,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdelaziz_bouras.php,csrankings-a.csv
Abdelfattah Amamra,University of Connecticut,http://www.cse.uconn.edu/people/faculty,csrankings-a.csv
Abdelhakim Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,csrankings-a.csv
Abdelhakim Senhaji Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,csrankings-a.csv
Abdelkarim Erradi,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/erradi.php,csrankings-a.csv
Abdelmounaam Rezgui,New Mexico Tech,http://nmt.edu/academics/compsci/faculty/arezgui.php,csrankings-a.csv
Abdelsalam Helal,University of Florida,http://www.cise.ufl.edu/~helal,csrankings-a.csv
Abdeltawab M. Hendawi,University of Rhode Island,https://homepage.cs.uri.edu/~ahendawi,csrankings-a.csv
Abdeslam Boularias,Rutgers University,http://www.abdeslam.net,csrankings-a.csv
Abdol-Hossein Esfahanian,Michigan State University,http://www.cse.msu.edu/~esfahani,csrankings-a.csv
Abdolreza Abhari,Toronto Metropolitan University,https://www.scs.torontomu.ca/~aabhari,csrankings-a.csv
Abdou S. Youssef,George Washington University,https://www.seas.gwu.edu/~ayoussef,csrankings-a.csv
Abdou Youssef,George Washington University,https://www.seas.gwu.edu/~ayoussef,csrankings-a.csv
Abdoulaye Baniré Diallo,Université du Québec à Montréal,https://professeurs.uqam.ca/professeur/diallo.abdoulaye,csrankings-a.csv
Abdul Mohsen Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,csrankings-a.csv
Abdul Sattar 0001,Griffith University,https://experts.griffith.edu.au/18511-abdul-sattar,csrankings-a.csv
Abdul Serwadda,Texas Tech University,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Abdul%20Serwadda,csrankings-a.csv
Abdulaziz Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,csrankings-a.csv
Abdulhakim Ali Qahtan,Utrecht University,https://www.uu.nl/staff/AAAQahtan,csrankings-a.csv
Abdulla K. Al-Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,csrankings-a.csv
Abdullah Al Arafat,Florida International University,https://abdullahaarafat.github.io,csrankings-a.csv
Abdullah Al Redwan Newaz,University of New Orleans,https://www.uno.edu/profile/faculty/abdullah-al_redwan-newaz,csrankings-a.csv
Abdullah Al-Mamun 0001,Augusta University,https://www.augusta.edu/faculty/directory/view.php?id=AALMAMUN,csrankings-a.csv
Abdullah Algarni,King Abdulaziz University,https://www.facebook.com/public/Abdullah-Algarni/school/King-Abdulaziz-University-103095679730320,csrankings-a.csv
Abdullah Basuhail,King Abdulaziz University,http://abasuhail.kau.edu.sa/Default.aspx?Site_ID=0012375&lng=EN,csrankings-a.csv
Abdullah Ercument Cicek,Bilkent University,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,csrankings-a.csv
Abdullah Mueen,University of New Mexico,http://www.cs.unm.edu/~mueen,csrankings-a.csv
Abdullah Muzahid,Texas A&M University,http://people.tamu.edu/~abdullah.muzahid/index.html,csrankings-a.csv
Abdullah Uz Tansel,CUNY,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Abdullah-Uz-Tansel,csrankings-a.csv
Abdullah Yasin Nur,University of New Orleans,https://ayasinnur.com,csrankings-a.csv
Abdullah-Al-Zubaer Imran,University of Kentucky,https://aaz-imran.github.io,csrankings-a.csv
Abdulmohsen Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,csrankings-a.csv
Abdulrahman Mahmoud,MBZUAI,https://mbzuai.ac.ae/study/faculty/abdulrahman-mahmoud,csrankings-a.csv
Abe Davis,Cornell University,http://abedavis.com,csrankings-a.csv
Abedelaziz Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,csrankings-a.csv
Abel Armas-Cervantes,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/822941-abel-armas-cervantes,csrankings-a.csv
Abel G. da Silva Filho,UFPE,https://www.cin.ufpe.br/~agsf,csrankings-a.csv
Abel Guilhermino Silva-Filho,UFPE,https://www.cin.ufpe.br/~agsf,csrankings-a.csv
Abel Guilhermino da Silva Filho,UFPE,https://www.cin.ufpe.br/~agsf,csrankings-a.csv
Abel Souza,Univ. of California - Santa Cruz,https://asouza.io,csrankings-a.csv
